the_geom,the_geom_webmercator,covid_status,zip_code,count,,
,,NEG,19152,783,,
,,NEG,19130,1049,,
,,NEG,19128,816,,
,,POS,19138,403,,
,,POS,19122,171,,
,,POS,19149,509,,
,,NEG,19147,1234,,
,,NEG,19114,677,,
,,NEG,19115,805,,
,,POS,19124,627,,
,,NEG,19154,814,,
,,NEG,19131,1362,,
,,NEG,19103,744,,
,,POS,19143,739,,
,,NEG,19105,13,,
,,NEG,19104,1154,,
,,NEG,19136,753,,
,,NEG,19142,731,,
,,NEG,19107,941,,
,,POS,19130,235,,
,,NEG,19116,630,,
,,NEG,19141,755,,
,,POS,19140,607,,
,,POS,19133,280,,
,,POS,19152,432,,
,,NEG,19150,690,,
,,NEG,19137,286,,
,,POS,19148,497,,
,,POS,19105,6,,
,,NEG,19132,1005,,
,,POS,19101,24,,
,,NEG,19145,1887,,
,,NEG,19121,960,,
,,NEG,19123,766,,
,,POS,19128,251,,
,,NEG,19129,322,,
,,POS,19129,83,,
,,NEG,19120,1368,,
,,POS,19126,415,,
,,NEG,19134,1187,,
,,POS,19151,427,,
,,NEG,19119,758,,
,,NEG,19148,2074,,
,,POS,19114,319,,
,,NEG,19127,116,,
,,POS,19125,160,,
,,NEG,19143,1938,,
,,NEG,19151,836,,
,,POS,19150,344,,
,,POS,19145,428,,
,,NEG,19118,260,,
,,NEG,19133,513,,
,,POS,19132,443,,
,,POS,19115,585,,
,,POS,19107,136,,
,,POS,19118,144,,
,,NEG,19138,862,,
,,NEG,19126,479,,
,,POS,19147,233,,
,,POS,19154,280,,
,,NEG,19125,608,,
,,POS,19119,357,,
,,NEG,19146,1654,,
,,NEG,19197,8,,
,,NEG,19106,348,,
,,POS,19141,396,,
,,POS,19134,469,,
,,NEG,19135,680,,
,,POS,19120,830,,
,,POS,19146,359,,
,,POS,19102,43,,
,,NEG,19139,1213,,
,,POS,19111,763,,
,,POS,19106,47,,
,,POS,19103,170,,
,,NEG,19153,360,,
,,POS,19135,300,,
,,NEG,19102,199,,
,,POS,19123,223,,
,,POS,19142,439,,
,,NEG,19111,1538,,
,,POS,19144,585,,
,,NEG,19140,1242,,
,,POS,19136,569,,
,,NEG,19122,561,,
,,POS,19127,22,,
,,POS,19104,435,,
,,NEG,19101,18,,
,,POS,19121,306,,
,,POS,19131,671,,
,,NEG,19149,855,,
,,NEG,19124,1151,,
,,POS,19153,147,,
,,POS,19137,31,,
,,NEG,19144,1137,,
,,POS,19116,471,,
,,POS,19139,630,,
